iter	Passed	Remaining
0	138	138658
1	139	69718
2	140	46713
3	141	35208
4	142	28306
5	143	23715
6	143	20399
7	144	17943
8	145	16058
9	146	14547
10	147	13281
11	148	12229
12	149	11372
13	150	10605
14	151	9934
15	151	9345
16	152	8845
17	153	8391
18	154	7984
19	155	7612
20	156	7278
21	157	6980
22	157	6701
23	158	6446
24	159	6214
25	160	6014
26	161	5823
27	162	5642
28	163	5473
29	164	5315
30	165	5168
31	166	5028
32	167	4899
33	168	4776
34	169	4666
35	170	4557
36	171	4453
37	171	4354
38	172	4257
39	173	4170
40	174	4089
41	175	4010
42	176	3935
43	177	3866
44	178	3798
45	179	3729
46	180	3661
47	181	3599
48	182	3542
49	183	3485
50	184	3429
51	185	3380
52	186	3329
53	187	3278
54	187	3228
55	189	3191
56	191	3166
57	192	3124
58	193	3083
59	194	3041
60	195	3003
61	196	2969
62	197	2932
63	197	2894
64	198	2859
65	199	2824
66	200	2790
67	201	2758
68	202	2726
69	202	2695
70	203	2667
71	204	2640
72	205	2611
73	206	2584
74	207	2556
75	208	2530
76	209	2505
77	209	2481
78	210	2458
79	211	2436
80	212	2413
81	213	2392
82	214	2365
83	214	2343
84	215	2322
85	216	2301
86	217	2280
87	218	2265
88	219	2247
89	220	2229
90	221	2211
91	222	2196
92	223	2178
93	224	2160
94	224	2142
95	225	2126
96	226	2110
97	227	2094
98	228	2078
99	229	2063
100	230	2048
101	231	2037
102	232	2021
103	233	2007
104	233	1993
105	234	1978
106	235	1964
107	236	1950
108	237	1937
109	237	1924
110	238	1910
111	239	1897
112	240	1885
113	241	1873
114	241	1862
115	242	1851
116	243	1838
117	244	1826
118	246	1824
119	247	1812
120	248	1801
121	248	1791
122	249	1781
123	250	1771
124	251	1762
125	252	1753
126	253	1742
127	254	1732
128	255	1723
129	256	1716
130	258	1711
131	258	1703
132	260	1694
133	261	1687
134	261	1678
135	263	1671
136	263	1662
137	264	1654
138	265	1645
139	266	1636
140	267	1629
141	268	1620
142	269	1612
143	269	1603
144	270	1597
145	271	1590
146	272	1583
147	274	1579
148	275	1573
149	276	1565
150	277	1560
151	278	1553
152	279	1549
153	281	1544
154	282	1537
155	283	1531
156	284	1525
157	284	1518
158	285	1511
159	286	1505
160	287	1498
161	288	1492
162	289	1486
163	290	1480
164	291	1475
165	292	1471
166	293	1464
167	294	1459
168	295	1454
169	296	1449
170	297	1444
171	298	1438
172	299	1432
173	300	1426
174	301	1422
175	302	1417
176	303	1412
177	304	1408
178	305	1402
179	306	1396
180	307	1391
181	308	1387
182	309	1382
183	310	1377
184	311	1372
185	312	1367
186	313	1362
187	314	1357
188	315	1352
189	316	1348
190	317	1343
191	318	1339
192	319	1334
193	320	1330
194	321	1325
195	321	1320
196	322	1316
197	323	1312
198	324	1307
199	325	1302
200	326	1297
201	327	1292
202	328	1288
203	329	1283
204	329	1278
205	330	1274
206	331	1270
207	332	1267
208	333	1262
209	334	1258
210	335	1253
211	336	1249
212	337	1247
213	339	1245
214	340	1241
215	340	1237
216	342	1234
217	342	1230
218	343	1226
219	344	1222
220	345	1218
221	346	1215
222	348	1212
223	349	1210
224	350	1206
225	351	1202
226	351	1198
227	352	1194
